excel_name,shp_name,tech,latitude,longitude,potencia_mw,matched
PE-TCHAMMA,TCHAMMA,Eólica,-22.49847245199993,-69.08436045699995,171.777,True
PE-SIERRAGORDA,SIERRA GORDA ESTE,Eólica,-22.877677270999982,-68.97469135399996,110.619,True
PE-VALLEDELOSVIENTOS,VALLE DE LOS VIENTOS,Eólica,-22.517831847999958,-68.81710784399996,88.9,True
PE-CERROTIGRE,CERRO TIGRE,Eólica,-23.76023049199995,-69.92844411399994,182.05,True
PE-CALAMA,PARQUE EOLICO CALAMA,Eólica,-22.473523426999975,-68.77023539099997,160.696,True
PE-TALTAL,EOLICA TALTAL,Eólica,-25.08005228999997,-69.85721235099999,98.109,True
PE-SARCO,SARCO,Eólica,-28.861625156999935,-71.42236915599995,167.56,True
PE-CABOLEONES-1,CABO LEONES,Eólica,-28.91153034799993,-71.46676604699996,175.1989,True
PE-CABOLEONES-2,CABO LEONES II,Eólica,-28.968791090999957,-71.44350223699996,205.25,True
PE-CABOLEONES-3,CABO LEONES III,Eólica,-28.927308866999965,-71.49175079899999,188.274,True
PE-SANJUAN,EOLICA SAN JUAN,Eólica,-28.88147059599993,-71.46822809499997,189.4,True
PE-PUNTACOLORADA,EOLICA PUNTA COLORADA,Eólica,-29.367536066999946,-71.04013630199995,19.998,True
PE-ELARRAYAN,EOLICA EL ARRAYAN,Eólica,-30.58317100499994,-71.70100835099998,114.9885,True
PE-TALINAYPONIENTE,EOLICA TALINAY PONIENTE,Eólica,-30.811158499999976,-71.65297273999994,60.098,True
PE-TALINAYORIENTE,EOLICA TALINAY ORIENTE,Eólica,-30.846370277999938,-71.56972194299993,89.55,True
PE-PUNTASIERRA,PUNTA SIERRA,Eólica,-31.13486043499995,-71.63304070599997,81.185,True
PE-LOSCURUROS,EOLICA LOS CURUROS,Eólica,-31.029368088999945,-71.63222681199994,107.7,True
PE-MONTEREDONDO,MONTE REDONDO,Eólica,-31.07258501399997,-71.63710555299997,47.52,True
PE-PUNTAPALMERAS,EOLICA PUNTA PALMERAS,Eólica,-31.236030778999975,-71.62507587099998,44.7048,True
PE-CANELA,CANELA,Eólica,-31.28669231899994,-71.61068534599997,17.9685,True
PE-CANELA-2,CANELA II,Eólica,-31.30637849599998,-71.61782468899997,59.4,True
PE-TOTORAL,EOLICA TOTORAL,Eólica,-31.348494656999947,-71.60186272499993,45.54,True
PE-LAESTRELLA,,Eólica,,,,False
PE-NEGRETE,,Eólica,,,,False
PE-LOSOLMOS,,Eólica,,,,False
PE-RENAICO,,Eólica,,,,False
PE-MALLECONORTE,,Eólica,,,,False
PE-MALLECOSUR,,Eólica,,,,False
PE-SANGABRIEL,,Eólica,,,,False
PE-LAFLOR,,Eólica,,,,False
PE-TOLPANSUR,,Eólica,,,,False
PE-LOSBUENOSAIRES,,Eólica,,,,False
PE-LAESPERANZA,,Eólica,,,,False
PE-AURORA,,Eólica,,,,False
PE-SANPEDRO,,Eólica,,,,False
PE-SANPEDRO-2,,Eólica,,,,False
PE-CUEL,,Eólica,,,,False
PE-ALENA,,Eólica,,,,False
PE-MESAMAVIDA,,Eólica,,,,False
PE-LOMASDEDUQUECO,,Eólica,,,,False
PE-PUELCHESUR,,Eólica,,,,False
PE-LLANOSDELVIENTO,LLANOS DEL VIENTO,Eólica,-23.771658042999945,-69.97065505799998,157.011,True
PE-CAMPO-LINDO,,Eólica,,,,False
PE-RENAICO-2,,Eólica,,,,False
PE-ATACAMA,ATACAMA,Eólica,-28.96297326299998,-71.49210224199999,160.294,True
PE-LACABANA,,Eólica,,,,False
PE-SANMATIAS,,Eólica,,,,False
PE-CARDONAL,,Eólica,,,,False
PE-CERRILLOS,,Eólica,,,,False
PE-MANANTIALES,,Eólica,,,,False
PE-KALLPA,KALLPA,Eólica,-24.91856365899997,-69.98947922699995,335.596,True
PE-HORIZONTENORTE,HORIZONTE NORTE,Eólica,-24.962272565999967,-69.86899527799994,366.5994,True
PE-HORIZONTESUR,HORIZONTE SUR,Eólica,-24.962272565999967,-69.86899527799994,364.4452,True
PE-PUNTADETALCA,PUNTA DE TALCA,Eólica,-30.90454856799994,-71.64503528499995,79.2432,True
