planta,tipo,longitud,latitud,curtailment (MWh)
PFV-POZOALMONTE-2,Solar,-69.75204960299999,-20.27406127499995,8894.328170401464
PFV-POZOALMONTE-3,Solar,-69.75025241399999,-20.24879576899997,26354.357275699884
PFV-LAHUAYCA-2,Solar,-69.53401235799998,-20.45456065299993,45442.20645239605
PFV-SANTAISABEL,Solar,-69.59297166399995,-22.055455369999947,279247.8578
PFV-HUATACONDO,Solar,-69.46467796699994,-21.13582107299993,94155.66924323494
PFV-ATACAMASOLAR-2,Solar,,,213356.5096566008
PFV-NUEVOQUILLAGUA,Solar,-69.49502755999998,-21.650177759999963,96613.02674076596
PFV-GRANJA,Solar,-69.49637771399995,-20.80834157299995,139675.17725539135
PFV-USYA,Solar,-68.84669304099998,-22.486008892999962,96577.1248952663
PFV-SANPEDRO-GPG,Solar,-68.76013141699997,-22.55494968499994,194105.4034307219
PFV-JAMA-1,Solar,-68.69941150099999,-22.586050557999954,79825.51698855267
PFV-JAMA-2,Solar,-68.69941150099999,-22.586050557999954,61884.78130146317
PFV-SOLDELDESIERTO,Solar,-69.56209852699993,-22.20059795399993,515209.70750412263
PFV-MARIAELENA,Solar,-69.57663441799997,-22.220403871999963,92230.61101312195
PFV-LACRUZSOLAR *,Solar,-69.61214086099994,-22.257168754999952,6109.198833333335
PFV-FINISTERRAE,Solar,-69.52243069499997,-22.344641621999983,446952.6712501816
PFV-AZABACHE,Solar,-68.82126236599998,-22.485594240999944,81895.08855787481
PFV-TAMAYA,Solar,-70.09011252499994,-22.17203003399993,106841.05961783935
PFV-CERRODOMINADOR,Solar,-69.45973255299998,-22.79295879999995,200787.57495360987
PFV-BOLERO-1,Solar,-69.40926683799995,-23.469732346999933,202654.082148205
PFV-URIBESOLAR,Solar,-70.21660501799994,-23.56178119599997,113589.73258294529
PFV-DOMEYKO *,Solar,-69.57744472299999,-24.062041127999976,18492.408
PFV-ANDES,Solar,-68.58490714699997,-24.00854670399997,30517.213486660123
PFV-ANDES2A,Solar,-68.57538607399994,-24.006605818999958,87525.00852156541
PFV-SOLDELILA *,Solar,-68.57509231199998,-24.03316840399998,31932.4395
PFV-LALACKAMA,Solar,-70.30305476899997,-25.119227808999938,97182.96907483776
PFV-PAMPASOLARNORTE,Solar,,,73551.43749560461
PFV-CONEJO,Solar,-70.16290331299996,-25.504103215999976,116471.08765128824
PFV-ALMEYDA,Solar,-70.09723720199997,-26.18980341599996,107995.43783198686
PFV-MALGARIDA,Solar,-69.94549511599996,-26.27150796799998,344218.9848269614
PFV-JAVIERA,Solar,-70.22074430299995,-26.30373869799996,159476.6629103388
PFV-SOLDELOSANDES *,Solar,-69.92355276399996,-26.31823024199997,7586.722
PFV-CHANARES,Solar,-70.08012924499997,-26.373058456999956,66705.25560570467
PFV-SALVADOR,Solar,-69.86555886899998,-26.31068278899994,68713.13680443264
PFV-DIEGODEALMAGRO,Solar,-70.02006237699999,-26.378934176999962,36260.49751428335
PFV-CAMPOSDELSOL,Solar,-69.90784787099994,-27.06459240299995,534939.6044394937
PFV-CARRERAPINTO,Solar,-69.86703741599996,-27.00423631299998,142218.46790228845
PFV-LUZDELNORTE,Solar,-69.89286185599997,-27.02624758199994,286176.1172666666
PFV-LLANODELLAMPOS,Solar,-70.17114340099994,-27.117460621999953,55232.02183025757
PFV-SANANDRES,Solar,-70.11122075299994,-27.25422451999998,26468.539029435506
PFV-RIOESCONDIDO,Solar,-70.19405308099994,-27.880864344999964,251787.57288560833
PFV-LOSLOROS,Solar,-70.16848334599996,-27.85137752199995,49844.60654133855
PFV-ELROMERO,Solar,-70.90792703899996,-29.109486537999942,292491.4712914824
PFV-ELPELICANO,Solar,-70.87099534599997,-29.146154172999957,184524.87126281273
PFV-LAHUELLA,Solar,-70.89227355299994,-29.141199335999943,90535.56341128756
PFV-DONACARMEN,Solar,-71.25404612499995,-32.47888003299994,18139.409933333336
PFV-SANTIAGOSOLAR,Solar,-70.86172432299998,-33.077898267999956,100836.3531166363
PFV-QUILAPILUN,Solar,-70.68793057499994,-33.103695020999965,87918.37292948419
PFV-PUERTOSECO,Solar,-68.87011641499998,-22.44992044199995,22919.016547968477
PE-TCHAMMA,Eólica,-69.08436045699995,-22.49847245199993,119422.13932391733
PE-SIERRAGORDA,Eólica,-68.97469135399996,-22.877677270999982,149843.38322969404
PE-VALLEDELOSVIENTOS,Eólica,-68.81710784399996,-22.517831847999958,142115.33829774405
PE-CERROTIGRE *,Eólica,-69.92844411399994,-23.76023049199995,0.0
PE-CALAMA,Eólica,-68.77023539099997,-22.473523426999975,181853.37679238024
PE-TALTAL,Eólica,-69.85721235099999,-25.08005228999997,83466.6923002016
PE-SARCO,Eólica,-71.42236915599995,-28.861625156999935,96304.79805251842
PE-CABOLEONES-1,Eólica,-71.46676604699996,-28.91153034799993,84140.37319420629
PE-CABOLEONES-2,Eólica,-71.44350223699996,-28.968791090999957,164620.28393814227
PE-CABOLEONES-3,Eólica,-71.49175079899999,-28.927308866999965,111536.81455152624
PE-SANJUAN,Eólica,-71.46822809499997,-28.88147059599993,201122.1747867199
PE-PUNTACOLORADA,Eólica,-71.04013630199995,-29.367536066999946,4530.26432269391
PE-ELARRAYAN,Eólica,-71.70100835099998,-30.58317100499994,66697.97789339162
PE-TALINAYPONIENTE,Eólica,-71.65297273999994,-30.811158499999976,47137.95647335245
PE-TALINAYORIENTE,Eólica,-71.56972194299993,-30.846370277999938,101928.91240203918
PE-PUNTASIERRA,Eólica,-71.63304070599997,-31.13486043499995,50190.068036571756
PE-LOSCURUROS,Eólica,-71.63222681199994,-31.029368088999945,81916.86269859312
PE-MONTEREDONDO,Eólica,-71.63710555299997,-31.07258501399997,28213.00193537778
PE-PUNTAPALMERAS,Eólica,-71.62507587099998,-31.236030778999975,19459.581271682327
PE-CANELA,Eólica,-71.61068534599997,-31.28669231899994,7004.5843021387755
PE-CANELA-2,Eólica,-71.61782468899997,-31.30637849599998,39267.52970173682
PE-TOTORAL,Eólica,-71.60186272499993,-31.348494656999947,27876.51130580368
PE-LAESTRELLA,Eólica,,,17154.73936490256
PE-NEGRETE,Eólica,,,21101.024502983204
PE-LOSOLMOS,Eólica,,,58962.587077822405
PE-RENAICO,Eólica,,,137192.42138240137
PE-MALLECONORTE *,Eólica,,,416.3791666666666
PE-MALLECOSUR,Eólica,,,66173.19845368688
PE-SANGABRIEL,Eólica,,,130704.07167291235
PE-LAFLOR,Eólica,,,53810.07635766753
PE-TOLPANSUR,Eólica,,,55570.394297616076
PE-LOSBUENOSAIRES,Eólica,,,20776.333475896074
PE-LAESPERANZA,Eólica,,,4227.107208791558
PE-AURORA,Eólica,,,47994.6448207283
PE-SANPEDRO,Eólica,,,20311.43568769591
PE-CUEL,Eólica,,,22773.179048126687
PE-ALENA,Eólica,,,57270.5972463657
PE-CERROTIGRE,Eólica,-69.92844411399994,-23.76023049199995,264266.41241929657
PE-MALLECONORTE,Eólica,,,55199.04566080463
PFV-CAPRICORNIO*,Solar,-70.17838756599997,-23.416622098999937,23.739666666666654
PFV-DIEGOALMAGROSUR,Solar,,,277772.5444002837
PE-MESAMAVIDA,Eólica,,,40701.495964220805
PFV-PAMPATIGRE,Solar,-69.79625321599997,-23.85503583999997,181726.1564645705
PFV-VALLEESCONDIDO,Solar,-70.27413147399994,-27.808912490999944,238939.79216186434
PFV-LACRUZSOLAR,Solar,-69.61214086099994,-22.257168754999952,86847.57130205094
PFV-DOMEYKO,Solar,-69.57744472299999,-24.062041127999976,224595.48964619267
PFV-SOLDELILA,Solar,-68.57509231199998,-24.03316840399998,164032.26462456433
PFV-SOLDELOSANDES,Solar,-69.92355276399996,-26.31823024199997,101589.11112700542
PFV-CAPRICORNIO,Solar,-70.17838756599997,-23.416622098999937,125952.71611043248
PFV-VALLEDELSOL,Solar,-69.57814574499997,-22.33320521199994,207810.17963958866
PFV-COYA,Solar,-69.57438430399998,-22.249203131999934,113497.53899999999
PE-LOMASDEDUQUECO,Eólica,,,29644.82338563214
PE-PUELCHESUR,Eólica,,,93831.29328230034
PE-LLANOSDELVIENTO,Eólica,-69.97065505799998,-23.771658042999945,125165.84177004892
PE-CAMPO-LINDO,Eólica,,,94548.33865455986
PFV-GUANCHOI,Solar,-69.94835179699999,-26.66220749799993,406955.8532833333
PFV-ANDES2B,Solar,-68.57365581699997,-23.997595995999973,86819.57211301268
PE-SANPEDRO-2,Eólica,,,19243.401899999997
PE-RENAICO-2,Eólica,,,40526.05388333333
PE-ATACAMA,Eólica,-71.49210224199999,-28.96297326299998,136703.00633333335
PFV-MESETADELOSANDES,Solar,-70.54079819299994,-32.89399641399996,67097.302
PFV-MANZANO,Solar,-70.78833127899998,-33.09987761299993,25144.93166666666
PFV-ELENA,Solar,-69.57663441799997,-22.220403871999963,41577.442500000005
PFV-WILLKA,Solar,-70.10851955699997,-18.499238503999948,120746.92199999999
PFV-LASSALINAS,Solar,-68.95385543899994,-22.855043429999967,248385.40036666667
PE-LACABANA,Eólica,,,7697.902333333334
PFV-LALACKAMA-2,Solar,-70.30987712599995,-25.10889218099993,16403.07415
PFV-CEME1,Solar,-69.59252610199997,-22.360580006999953,316741.26633333333
PE-SANMATIAS,Eólica,,,22473.249933333336
PE-CARDONAL,Eólica,,,5965.928778333335
PFV TAMANGO,Solar,,,24489.31977666667
PFV-DONAANTONIA,Solar,-71.16539621099997,-30.471185469999966,66252.53933333332
PFV-DONHUMBERTO,Solar,-70.81888147799998,-33.12079093999995,723.1836666666666
PFV-GRANTENO,Solar,,,35169.02838333333
PFV-ANDESIV,Solar,-68.58490714699997,-24.00854670399997,26933.897666666664
PE-CERRILLOS,Eólica,,,4918.923233333334
PE-MANANTIALES,Eólica,,,7496.846421666665
PFV-TAMARICO,Solar,-70.77496756099998,-28.436683768999956,24301.298866666664
PFV-TAIRA,Solar,-69.53511122199995,-22.25988887699998,87351.91508333333
PE-KALLPA,Eólica,-69.98947922699995,-24.91856365899997,155933.11543333333
PE-HORIZONTENORTE,Eólica,-69.86899527799994,-24.962272565999967,128751.36478
PE-HORIZONTESUR,Eólica,-69.86899527799994,-24.962272565999967,130603.65035
PE-PUNTADETALCA,Eólica,-71.64503528499995,-30.90454856799994,17217.679666666663
PFV-LEYDA,Solar,,,27217.580166666663
