id_instalacion,nombre,tipo,region,latitud,longitud,capacidad_MVA,voltaje_kV,ctd_inyeccion_MW,ctd_retiro_MW,zona,rango_ctd
SE_LLULLAILLACO,S/E SECCIONADORA LLULLAILLACO,Subestacion,Arica y Parinacota,-18.5,-69.5,500,220,250,300,Norte,verde
SEонец,S/E PONEY,Subestacion,Antofagasta,-23.2,-67.5,1200,220,800,900,Norte,verde
SE_CHAIRE,S/E CHAIRE,Subestacion,Antofagasta,-23.4,-67.8,800,220,400,500,Norte,verde
SE_CHAGRES_II,S/E CHAGRES II,Subestacion,Antofagasta,-23.5,-68.0,950,220,500,600,Norte,verde
SE_CHPIC,S/E CHPIC,Subestacion,Antofagasta,-23.6,-68.2,700,220,300,400,Norte,verde
SE_COLINA,S/E COLINA,Subestacion,Antofagasta,-23.7,-68.5,600,220,280,350,Norte,verde
SE_COPIAPO,S/E COPIAPO,Subestacion,Antofagasta,-24.1,-69.0,450,220,180,250,Norte,verde
SE_CORDOMA,S/E CORDOMA,Subestacion,Antofagasta,-24.3,-69.2,550,220,220,300,Norte,verde
SE_DARWIN,S/E DARWIN,Subestacion,Antofagasta,-24.5,-69.5,400,220,150,200,Norte,verde
SE_ELLAMER,S/E ELLAMER,Subestacion,Atacama,-25.2,-70.0,350,110,120,150,Norte,verde
SE_ESTNORTE,S/E ESTNORTE,Subestacion,Atacama,-25.8,-70.5,300,110,100,130,Norte,amarillo
SE_FRED,S/E FRED,Subestacion,Atacama,-26.1,-70.8,280,110,90,110,Norte,amarillo
SE_GALLO,S/E GALLO,Subestacion,Atacama,-26.5,-71.0,400,110,140,180,Norte,verde
SE_GLOVER,S/E GLOVER,Subestacion,Atacama,-27.0,-71.5,450,110,160,200,Norte,verde
SE_HUASCO,S/E HUASCO,Subestacion,Atacama,-27.8,-72.0,500,110,180,220,Norte,verde
SE_IQUIQUE,S/E IQUIQUE,Subestacion,Iquique,-20.2,-70.0,250,66,80,100,Norte,amarillo
SE_LA_PALMA,S/E LA PALMA,Subestacion,Iquique,-20.5,-70.5,300,66,90,110,Norte,amarillo
SE_LAMAR,S/E LAMAR,Subestacion,Iquique,-20.8,-71.0,350,66,100,120,Norte,amarillo
SE_LIMA,S/E LIMA,Subestacion,Iquique,-21.1,-71.5,400,66,110,130,Norte,verde
SE_LIMAR,S/E LIMAR,Subestacion,Iquique,-21.5,-72.0,450,66,120,140,Norte,verde
