codigo,nombre,region,latitud,longitud,elevacion_m,fecha_inicio,fecha_fin,link_datos
chaca,Valle Chaca,Región de Arica y Parinacota,-18.8,-70.15,48.0,23-1-2003,26-2-2005,http://walker.dgf.uchile.cl/Mediciones/datos/csv/chaca.csv
nama,Nama,Región de Tarapacá,-19.19,-69.41,3000.0,9-9-2003,5-4-2005,http://walker.dgf.uchile.cl/Mediciones/datos/csv/nama.csv
colchane,colchane,Región de Tarapacá,-19.27,-68.65,4200.0,10-3-2005,26-5-2007,http://walker.dgf.uchile.cl/Mediciones/datos/csv/colchane.csv
sibaya,Sibaya,Región de Tarapacá,-19.78,-69.17,2778.0,17-12-2003,20-1-2006,http://walker.dgf.uchile.cl/Mediciones/datos/csv/sibaya.csv
san_marcos,San Marcos,Región de Tarapacá,-21.11,-70.12,18.0,7-1-2004,15-12-2004,http://walker.dgf.uchile.cl/Mediciones/datos/csv/san_marcos.csv
a06,a06,I Región de Tarapacá,-21.16,-70.03,749.6,29-7-2009,8-6-2010,http://walker.dgf.uchile.cl/Mediciones/datos/csv/a06.csv
a31,a3.1,II Región de Antofagasta,-21.43,-69.94,718.9,27-7-2009,9-6-2010,http://walker.dgf.uchile.cl/Mediciones/datos/csv/a31.csv
a7,a7,II Región de Antofagasta,-21.45,-69.78,826.0,25-7-2009,14-12-2012,http://walker.dgf.uchile.cl/Mediciones/datos/csv/a7.csv
a02,a02,II Región de Antofagasta,-21.48,-69.73,888.0,24-7-2009,14-12-2012,http://walker.dgf.uchile.cl/Mediciones/datos/csv/a02.csv
a11,a1.1,I Región de Tarapacá,-21.43,-69.7,797.0,28-7-2009,5-6-2010,http://walker.dgf.uchile.cl/Mediciones/datos/csv/a11.csv
ollague,Ollague,Región de Antofagasta,-21.23,-68.26,3720.0,26-10-2003,4-11-2004,http://walker.dgf.uchile.cl/Mediciones/datos/csv/ollague.csv
b04,b04,II Región de Antofagasta,-22.06,-68.59,3039.0,30-6-2009,14-6-2010,http://walker.dgf.uchile.cl/Mediciones/datos/csv/b04.csv
cupo,Cupo,Región de Antofagasta,-22.12,-68.32,3393.0,5-12-2003,20-10-2004,http://walker.dgf.uchile.cl/Mediciones/datos/csv/cupo.csv
b41,b4.1,II Región de Antofagasta,-22.15,-68.64,2847.9,27-6-2009,9-4-2015,http://walker.dgf.uchile.cl/Mediciones/datos/csv/b41.csv
b42,b4.2,II Región de Antofagasta,-22.25,-68.64,2694.0,21-6-2009,9-4-2015,http://walker.dgf.uchile.cl/Mediciones/datos/csv/b42.csv
